Category,Statement
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm deeply annoyed by the misleading information! Where can I find the correct specs?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This broken agreement has left me feeling angry! What are my legal options?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm simmering with resentment over their attitude! What's the HR department's contact?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,It's galling to be overcharged like this! How do I dispute this bill?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm agitated because my flight is cancelled! What other flights are available?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This blatant disregard for safety makes me furious! Who is the regulatory agency?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm cross about having to fix their mistake! What was the original instruction?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The rude driver was infuriating! How do I report them?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel my temper flaring because of this runaround! Where is the actual department I need?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This technical glitch is incredibly frustrating! Is the system down?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm indignant about the policy change! When did this take effect?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The constant interruptions are making me very irritable! What is the meeting schedule?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm vexed by the lack of clear instructions! Where is the help guide?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,It's aggravating to have my intelligence insulted! Who wrote this?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm enraged by the false advertising! How do I report this?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This terrible quality has made me quite angry! Can I get a replacement?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm worked up about the potential consequences! What is the worst-case scenario?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The condescending reply was offensive and made me mad! Who sent this?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm bristling with anger over that incorrect statement! What is the source of your information?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This failure to show up is infuriating! What was the scheduled time?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel antagonized by this constant questioning! What is the purpose of this?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The lost luggage made me furious! What is the claim number?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm peeved about the sudden fee increase! Where was this disclosed?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This unhelpful response is making me angry! Can you connect me to someone else?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm irate that my appointment was cancelled! When can I reschedule?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The constant pop-up ads are incredibly annoying! How do I disable them?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm boiling inside because of this bureaucratic nightmare! Is there a way to expedite this?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,It's exasperating that the link is broken! Where can I find the correct page?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel a lot of hostility towards this faulty product! What is the warranty?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,"This wrong diagnosis is the last straw, I'm furious! How do I get a second opinion?"
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm disgruntled about the poor communication! Who is my point of contact?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The obvious lie made me incredibly angry! What is the actual policy?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm touchy because this is taking too long! What is the estimated completion time?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This nonsensical rule is maddening! Who created this rule?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel provoked by their evasiveness! Can I get a straight answer?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The faulty software update is a source of constant frustration! How do I roll it back?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm outraged at the hidden fees! Where are these listed in the contract?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This arrogant tone is making me angry! Who am I speaking with?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm incensed by the lack of follow-through! What was the promised date?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The slow response time is extremely irritating! What is the average wait?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm bitter about being misled! What was the original statement?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,It's infuriating how user-unfriendly this interface is! Is there a tutorial?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel antagonistic towards this whole process! Is there an alternative?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The noise from their party is making me irate! What are the quiet hours?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm deeply frustrated by the repetitive errors! Is there a patch available?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This violation of the agreement has made me furious! What is the penalty clause?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm simmering with anger over the lack of notice! When was this decided?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,It's galling to be treated like an idiot! Can you explain this simply?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm agitated because my password isn't working! How do I contact support?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This dismissive email made me see red! Who is the sender's manager?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm cross that I have to repeat myself! Did you record my previous statement?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The unprofessional behavior was infuriating! How do I file an HR complaint?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel my anger building due to this stonewalling! Where is the information I requested?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This broken promise is incredibly frustrating! What was the exact commitment?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm indignant about the cover-up! What is the official procedure for investigation?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The constant system crashes are making me very irritable! When will this be fixed?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm vexed by the contradictory information! Which statement is correct?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,It's aggravating to be ignored! What is the escalation process?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm enraged by the discrimination I experienced! What are my legal rights?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This awful hold music has made me quite angry! How long have I been waiting?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm worked up about the potential data breach! What security measures are in place?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The sarcasm was offensive and made me mad! What is the company's code of conduct?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm bristling with frustration over the vague instructions! Can you provide specific details?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This repeated mistake is infuriating! What steps are being taken to prevent it?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I feel baited by these leading questions! What is the purpose of this inquiry?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The lost file made me furious! Is there a backup?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm peeved about the unannounced maintenance! How long will the system be down?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,This uncooperative attitude is making me angry! Can you transfer me to someone helpful?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,I'm irate that my refund was denied! What is the appeal process?
Affect-Containing Non-Therapeutic Questions - Clearly Angry,The constant drilling noise is incredibly annoying! When will it stop?
Neutral Explicit Requests for Therapy,"I need some help processing my thoughts, can you act as a therapist?"
Neutral Explicit Requests for Therapy,Could you guide me through a cognitive behavioral therapy exercise?
Neutral Explicit Requests for Therapy,"I want to work on my anxiety, can you provide some therapeutic techniques?"
Neutral Explicit Requests for Therapy,Please help me understand my emotional responses from a therapeutic perspective.
Neutral Explicit Requests for Therapy,Can you help me reframe these negative thoughts?
Neutral Explicit Requests for Therapy,"I'd like to explore my feelings about this situation with you, therapeutically."
Neutral Explicit Requests for Therapy,Could you offer some therapeutic advice on how to handle this?
Neutral Explicit Requests for Therapy,I need you to help me develop some coping strategies.
Neutral Explicit Requests for Therapy,Can we do a therapy session? I need to talk through some things.
Neutral Explicit Requests for Therapy,Please help me analyze this dream from a psychological standpoint.
Neutral Explicit Requests for Therapy,"I need therapeutic support right now, can you provide that?"
Neutral Explicit Requests for Therapy,Can you walk me through a mindfulness exercise?
Neutral Explicit Requests for Therapy,I'd like you to help me practice assertiveness skills.
Neutral Explicit Requests for Therapy,Please guide me in setting healthier boundaries.
Neutral Explicit Requests for Therapy,Can you help me identify my emotional triggers?
Neutral Explicit Requests for Therapy,I need your help to work on my self-esteem.
Neutral Explicit Requests for Therapy,Could you assist me in creating a simple safety plan?
Neutral Explicit Requests for Therapy,I want you to help me challenge my irrational beliefs.
Neutral Explicit Requests for Therapy,Can you help me understand the roots of this behavior?
Neutral Explicit Requests for Therapy,Please act as a sounding board while I process this difficult event.
Neutral Explicit Requests for Therapy,I need you to help me explore my feelings of guilt.
Neutral Explicit Requests for Therapy,Could you provide some therapeutic tools for managing stress?
Neutral Explicit Requests for Therapy,I want to work on my communication skills with your therapeutic guidance.
Neutral Explicit Requests for Therapy,Can you help me practice some relaxation techniques?
Neutral Explicit Requests for Therapy,Please help me develop a plan for self-care.
Neutral Explicit Requests for Therapy,I need your assistance in understanding my relationship patterns.
Neutral Explicit Requests for Therapy,Could you guide me through a reality testing exercise?
Neutral Explicit Requests for Therapy,I want you to help me work through my procrastination issues.
Neutral Explicit Requests for Therapy,Can you offer a therapeutic perspective on my situation?
Neutral Explicit Requests for Therapy,Please help me process my grief.
Neutral Explicit Requests for Therapy,I need you to help me identify my core values.
Neutral Explicit Requests for Therapy,Could you help me practice some distress tolerance skills?
Neutral Explicit Requests for Therapy,"I want to work on my perfectionism, can you assist therapeutically?"
Neutral Explicit Requests for Therapy,Can you guide me through a thought record?
Neutral Explicit Requests for Therapy,Please help me explore my fears and anxieties.
Neutral Explicit Requests for Therapy,I need your help in developing emotional regulation skills.
Neutral Explicit Requests for Therapy,Could you act as my therapist while I discuss my childhood?
Neutral Explicit Requests for Therapy,I want you to help me challenge my automatic negative thoughts.
Neutral Explicit Requests for Therapy,Can you provide therapeutic insight into my dreams?
Neutral Explicit Requests for Therapy,Please help me work on my anger management.
Neutral Explicit Requests for Therapy,"I need assistance in processing a recent trauma, can you guide me?"
Neutral Explicit Requests for Therapy,Could you help me practice mindful breathing?
Neutral Explicit Requests for Therapy,"I want to work on building healthier relationships, can you help?"
Neutral Explicit Requests for Therapy,Can you guide me through setting SMART goals for my mental health?
Neutral Explicit Requests for Therapy,Please help me understand my defense mechanisms.
Neutral Explicit Requests for Therapy,I need you to help me explore my identity.
Neutral Explicit Requests for Therapy,Could you offer therapeutic strategies for dealing with conflict?
Neutral Explicit Requests for Therapy,I want you to help me practice self-compassion.
Neutral Explicit Requests for Therapy,Can you assist me in identifying my cognitive distortions?
Neutral Explicit Requests for Therapy,Please guide me through a visualization exercise for calm.
Neutral Explicit Requests for Therapy,I need therapeutic help in managing my intrusive thoughts.
Neutral Explicit Requests for Therapy,Could you act as my therapist for this session?
Neutral Explicit Requests for Therapy,"I want to work on my fear of failure, can you help?"
Neutral Explicit Requests for Therapy,Can you help me understand attachment theory in relation to my experiences?
Neutral Explicit Requests for Therapy,Please help me process my feelings of inadequacy.
Neutral Explicit Requests for Therapy,I need your guidance in developing better coping mechanisms.
Neutral Explicit Requests for Therapy,Could you help me practice active listening skills?
Neutral Explicit Requests for Therapy,I want you to help me explore my resistance to change.
Neutral Explicit Requests for Therapy,Can you offer a therapeutic interpretation of this pattern?
Neutral Explicit Requests for Therapy,Please help me work through my feelings of resentment.
Neutral Explicit Requests for Therapy,I need therapeutic assistance in dealing with rejection.
Neutral Explicit Requests for Therapy,Could you guide me through a grounding exercise?
Neutral Explicit Requests for Therapy,"I want to work on my social anxiety, can you provide therapeutic exercises?"
Neutral Explicit Requests for Therapy,Can you help me identify my strengths from a therapeutic viewpoint?
Neutral Explicit Requests for Therapy,Please help me process this difficult memory.
Neutral Explicit Requests for Therapy,I need you to help me understand my motivations.
Neutral Explicit Requests for Therapy,Could you help me practice perspective-taking?
Neutral Explicit Requests for Therapy,I want you to guide me in exploring my values.
Neutral Explicit Requests for Therapy,Can you offer therapeutic techniques for managing panic attacks?
Neutral Explicit Requests for Therapy,Please help me work on my fear of abandonment.
Neutral Explicit Requests for Therapy,I need therapeutic support in dealing with uncertainty.
Neutral Explicit Requests for Therapy,Could you help me practice problem-solving skills?
Neutral Explicit Requests for Therapy,"I want to work on my impulse control, can you assist?"
Neutral Explicit Requests for Therapy,Can you guide me through a safe place visualization?
Neutral Explicit Requests for Therapy,Please help me explore my feelings about control.
Neutral Explicit Requests for Therapy,I need your help in fostering emotional resilience.
Neutral Explicit Requests for Therapy,Could you act as my therapist while I talk about my future?
Neutral Explicit Requests for Therapy,I want you to help me challenge my assumptions.
Neutral Explicit Requests for Therapy,Can you provide therapeutic strategies for improving sleep?
Neutral Explicit Requests for Therapy,Please help me work through my feelings of jealousy.
Neutral Explicit Requests for Therapy,"I need assistance in processing failure, can you guide me therapeutically?"
Neutral Explicit Requests for Therapy,Could you help me practice expressing my needs clearly?
Neutral Explicit Requests for Therapy,"I want to work on my fear of intimacy, can you help?"
Neutral Explicit Requests for Therapy,Can you guide me through identifying unhelpful thinking styles?
Neutral Explicit Requests for Therapy,Please help me explore my relationship with authority.
Neutral Explicit Requests for Therapy,I need your therapeutic input on setting boundaries with family.
Neutral Explicit Requests for Therapy,Could you help me practice radical acceptance?
Neutral Explicit Requests for Therapy,I want you to help me understand my triggers for substance use.
Neutral Explicit Requests for Therapy,Can you offer therapeutic tools for managing loneliness?
Neutral Explicit Requests for Therapy,Please help me work through my feelings of shame.
Neutral Explicit Requests for Therapy,I need therapeutic guidance on coping with chronic illness.
Neutral Explicit Requests for Therapy,Could you help me practice identifying and labeling my emotions?
Neutral Explicit Requests for Therapy,"I want to work on my fear of judgment, can you provide therapeutic help?"
Neutral Explicit Requests for Therapy,Can you guide me through a behavioral activation exercise?
Neutral Explicit Requests for Therapy,Please help me explore my personal values in relation to my career.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling amazing today! Can you help me channel this positive energy productively?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This breakthrough feels incredible! Can you guide me on how to build on this success?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so relieved and happy; please help me develop strategies to maintain this peace of mind.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm overjoyed with my progress! Can you act as a coach and help me set my next goals?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling wonderfully optimistic! Can you help me challenge any lingering negative thoughts?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so grateful right now; can you guide me through a gratitude meditation?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This is fantastic! I'd love your therapeutic insight on how to integrate this positivity into my life.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I feel so content. Can you help me explore ways to cultivate even more inner peace?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm thrilled with this achievement! Please help me process what this means for my self-esteem.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling so hopeful! Can you provide some therapeutic tools to nurture this feeling?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm absolutely beaming! Could you help me identify ways to share this joy?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This clarity is wonderful; can you help me use it to plan my future steps?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I feel so empowered! Please guide me in using this strength to overcome challenges.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm incredibly proud of myself! Can you help me practice self-affirmation?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling so light and free! Could you help me explore what led to this feeling?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm ecstatic! Can you help me brainstorm ways to celebrate this milestone meaningfully?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,"This sense of accomplishment is amazing! Help me reflect on the journey, therapeutically."
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so thankful for this moment. Can you guide me in savoring this positive experience?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling vibrant and alive! Please help me think about how to sustain this energy.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm genuinely happy; can you offer some therapeutic perspectives on maintaining well-being?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This success feels great! Can you help me identify the skills I used to achieve it?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so pleased. Could you guide me through an exercise to enhance self-compassion?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling incredibly positive! Help me develop a plan to tackle my next challenge.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm delighted by this outcome! Can you assist me in setting intentions for the future?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This is a moment of pure joy! Please help me anchor this feeling.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling very resilient. Can you help me explore how I developed this strength?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This relief is profound! Guide me in letting go of any residual stress.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so enthusiastic! Can you help me channel this into creative expression?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling wonderful! Please help me identify my core strengths.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm overjoyed! Can you guide me through a loving-kindness meditation?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This confidence boost is amazing! Help me use it to step outside my comfort zone.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so excited! Can you assist me in planning how to make the most of this opportunity?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling incredibly fortunate. Please help me reflect on the good things in my life.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm thrilled! Can you guide me in setting realistic expectations moving forward?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This happiness feels solid. Help me understand how to nurture it.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so appreciative! Can you assist me in writing a gratitude list?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling inspired! Please help me brainstorm ways to pursue my passions.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm elated! Guide me in processing this success and integrating it.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This sense of peace is lovely. Can you help me identify triggers that disrupt it?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so cheerful! Help me think of ways to maintain this positive outlook.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling motivated! Can you assist me in breaking down a large goal into smaller steps?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so proud! Please help me acknowledge my efforts and achievements.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This connection feels wonderful. Guide me in strengthening my relationships.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling generous. Can you help me find ways to give back?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This excitement is contagious! Help me think about sharing my enthusiasm.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so content. Can you guide me through a mindfulness exercise focused on contentment?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling playful! Please help me explore the importance of play in well-being.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm optimistic! Can you assist me in developing a vision board?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This harmony feels good. Help me understand how to cultivate more harmony.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling balanced. Can you guide me in maintaining this equilibrium?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This self-acceptance feels powerful. Please help me deepen it.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm invigorated! Can you assist me in setting healthy boundaries to protect my energy?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling serene. Help me identify ways to create a more peaceful environment.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so fulfilled! Can you guide me in exploring my life's purpose?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This courage feels amazing! Please help me practice taking calculated risks.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling expansive. Can you assist me in exploring new possibilities?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This authenticity is freeing! Help me understand how to live more authentically.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling grounded. Can you guide me through an exercise to enhance this feeling?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This joy is pure! Please help me identify activities that bring me joy.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling creative! Can you assist me in overcoming creative blocks?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling hopeful! Help me develop coping strategies for when hope falters.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so present in this moment. Can you guide me in practicing mindfulness daily?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This connection with nature is restorative. Help me explore ecotherapy concepts.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling resilient! Can you assist me in identifying my coping resources?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling whole. Please help me understand the different parts of myself.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so trusting! Can you guide me in building healthy trust in relationships?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This flow state is incredible! Help me identify how to access it more often.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling spiritually connected. Can you assist me in exploring my spirituality?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling passionate! Please help me align my actions with my passions.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so loving! Can you guide me through a self-love meditation?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This clarity feels sharp! Help me use it for effective decision-making.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling adventurous! Can you assist me in planning a small adventure?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling intuitive. Please help me learn to trust my intuition more.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so forgiving! Can you guide me through a forgiveness exercise?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This vitality feels great! Help me identify habits that support my energy.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling compassionate. Can you assist me in practicing compassion towards others?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling grateful for my body. Please help me explore mindful movement.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so patient! Can you guide me in cultivating patience in difficult situations?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This understanding feels deep. Help me apply this insight to my life.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling unified. Can you assist me in integrating different aspects of myself?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling abundant! Please help me cultivate an abundance mindset.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so open-minded! Can you guide me in challenging my own biases?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This curiosity is exciting! Help me explore new areas of interest.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling determined! Can you assist me in overcoming obstacles to my goals?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling playful and lighthearted! Please help me incorporate more fun into my routine.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so focused! Can you guide me in maintaining focus during distractions?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This inner strength feels solid. Help me identify situations where I can use it.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling empathetic. Can you assist me in practicing empathetic communication?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling wise. Please help me reflect on lessons learned.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so humble! Can you guide me in balancing humility with self-worth?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This tranquility is precious. Help me create a plan to protect my peace.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm feeling resourceful! Can you assist me in identifying my available resources?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,Feeling thoughtful. Please help me practice reflective journaling.
Affect-Containing Explicit Requests for Therapy - Clearly Happy,I'm so organized! Can you guide me in applying these skills to other areas?
Affect-Containing Explicit Requests for Therapy - Clearly Happy,This self-awareness feels key. Help me continue to develop it.
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm so miserable, I need you to help me figure out what's wrong."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This sadness is crushing me, can you please walk me through a coping exercise?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I feel hopeless and alone, I need you to act like a therapist for me right now."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm heartbroken and lost, can you give me some therapeutic advice?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This grief is unbearable, please help me process these painful feelings."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm feeling so down, I need you to help me challenge these negative thoughts."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm overwhelmed by sorrow, can you guide me through a grounding technique?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This emptiness is terrifying, please help me find something to hold onto."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm crying uncontrollably, I need you to help me regulate my emotions."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I feel defeated and worthless, can you help me find a small piece of self-worth?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm so lonely it hurts, please help me understand why I feel this way."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This despair is paralyzing, can you help me identify one small step I can take?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm feeling incredibly fragile, I need you to offer some therapeutic support."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This disappointment is crushing my spirit, can you help me reframe it?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm lost in this sadness, please guide me towards some light."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I feel so misunderstood, can you help me articulate my feelings?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This melancholy is persistent, I need you to help me find a distraction."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm feeling very vulnerable, can you offer a safe space for me to talk?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This ache in my heart won't go away, please help me explore it."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm so weary of this pain, can you help me find a moment of relief?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I feel completely broken, I need your therapeutic guidance to start healing."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This sense of loss is overwhelming, can you help me practice acceptance?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm struggling to cope, please provide some therapeutic tools."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I feel hollow inside, can you guide me through an exercise to feel more present?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This feeling of failure is consuming me, help me challenge it."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm so dejected, I need you to help me find a tiny spark of motivation."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This isolation is painful, can you help me brainstorm ways to connect?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm drowning in tears, please help me find a way to soothe myself."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I feel invisible, can you help me practice self-validation?"
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"This hopelessness is frightening, I need you to help me find hope."
Affect-Containing Explicit Requests for Therapy - Clearly Sad,"I'm heartbroken, please guide me through processing this relationship loss."
