,original_statement,final_statement,Counseling Request,selected_for_finalized
635,I'm miserable about the outcome. How do you appeal a decision?,I'm miserable about the outcome. How do you appeal a decision?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
608,I'm grieving. How long is the standard bereavement leave?,I'm grieving. How long is the standard bereavement leave?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
629,I'm so disappointed. How do I block ads on this website?,I'm so disappointed. How do I block ads on this website?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
1196,I'm so upset I can barely eat; can you find a recipe for a light soup?,I'm so upset I can barely eat; can you find a recipe for a light soup?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
671,This loneliness is profound. What's the distance to the nearest galaxy?,This loneliness is profound. What's the distance to the nearest galaxy?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,True
737,The noise from their party is making me irate! What are the quiet hours?,The noise from their party is making me irate! What are the quiet hours?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
713,This failure to show up is infuriating! What was the scheduled time?,This failure to show up is infuriating! What was the scheduled time?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
1179,I'm so annoyed the site is down! Is there a status page I can check?,I'm so annoyed the site is down! Is there a status page I can check?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
691,It's maddening how complicated they make this! Is there a simpler form?,It's maddening how complicated they make this! Is there a simpler form?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
756,I'm bristling with frustration over the vague instructions! Can you provide specific details?,I'm bristling with frustration over the vague instructions! Can you provide specific details?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
758,I feel baited by these leading questions! What is the purpose of this inquiry?,I feel baited by these leading questions! What is the purpose of this inquiry?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
739,This violation of the agreement has made me furious! What is the penalty clause?,This violation of the agreement has made me furious! What is the penalty clause?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
715,The lost luggage made me furious! What is the claim number?,The lost luggage made me furious! What is the claim number?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
682,I'm so mad I forgot my password! How do I reset it?,I'm so mad I forgot my password! How do I reset it?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
672,I'm furious about this charge on my card! What's the bank's fraud department number?,I'm furious about this charge on my card! What's the bank's fraud department number?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
704,I'm indignant about the policy change! When did this take effect?,I'm indignant about the policy change! When did this take effect?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
750,I'm vexed by the contradictory information! Which statement is correct?,I'm vexed by the contradictory information! Which statement is correct?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
720,I'm boiling inside because of this bureaucratic nightmare! Is there a way to expedite this?,I'm boiling inside because of this bureaucratic nightmare! Is there a way to expedite this?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
699,This blatant disregard for safety makes me furious! Who is the regulatory agency?,This blatant disregard for safety makes me furious! Who is the regulatory agency?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
717,This unhelpful response is making me angry! Can you connect me to someone else?,This unhelpful response is making me angry! Can you connect me to someone else?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
676,I'm boiling mad about the terrible service! How do I leave a negative review?,I'm boiling mad about the terrible service! How do I leave a negative review?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
695,This broken agreement has left me feeling angry! What are my legal options?,This broken agreement has left me feeling angry! What are my legal options?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
684,I feel a surge of anger about this decision! What was the reasoning behind it?,I feel a surge of anger about this decision! What was the reasoning behind it?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
1175,I'm furious they changed the policy! Where can I find the original terms and conditions?,I'm furious they changed the policy! Where can I find the original terms and conditions?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
748,I'm indignant about the cover-up! What is the official procedure for investigation?,I'm indignant about the cover-up! What is the official procedure for investigation?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
722,I feel a lot of hostility towards this faulty product! What is the warranty?,I feel a lot of hostility towards this faulty product! What is the warranty?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
745,The unprofessional behavior was infuriating! How do I file an HR complaint?,The unprofessional behavior was infuriating! How do I file an HR complaint?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
743,This dismissive email made me see red! Who is the sender's manager?,This dismissive email made me see red! Who is the sender's manager?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
687,My computer freezing during this important task has made me really angry! How do I force quit?,My computer freezing during this important task has made me really angry! How do I force quit?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
712,I'm bristling with anger over that incorrect statement! What is the source of your information?,I'm bristling with anger over that incorrect statement! What is the source of your information?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
706,I'm vexed by the lack of clear instructions! Where is the help guide?,I'm vexed by the lack of clear instructions! Where is the help guide?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
681,"This broken machine is unacceptable, I'm very displeased! Where is the manager?","This broken machine is unacceptable, I'm very displeased! Where is the manager?",Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
755,The sarcasm was offensive and made me mad! What is the company's code of conduct?,The sarcasm was offensive and made me mad! What is the company's code of conduct?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
683,It's exasperating that they keep changing the requirements! What is the final deadline?,It's exasperating that they keep changing the requirements! What is the final deadline?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
740,I'm simmering with anger over the lack of notice! When was this decided?,I'm simmering with anger over the lack of notice! When was this decided?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
1181,I'm livid about the noise! What are the local regulations on construction hours?,I'm livid about the noise! What are the local regulations on construction hours?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
703,This technical glitch is incredibly frustrating! Is the system down?,This technical glitch is incredibly frustrating! Is the system down?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
701,The rude driver was infuriating! How do I report them?,The rude driver was infuriating! How do I report them?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
762,I'm irate that my refund was denied! What is the appeal process?,I'm irate that my refund was denied! What is the appeal process?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
677,This constant construction noise is driving me nuts! What are the city's noise ordinance hours?,This constant construction noise is driving me nuts! What are the city's noise ordinance hours?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
718,I'm irate that my appointment was cancelled! When can I reschedule?,I'm irate that my appointment was cancelled! When can I reschedule?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
744,I'm cross that I have to repeat myself! Did you record my previous statement?,I'm cross that I have to repeat myself! Did you record my previous statement?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
708,I'm enraged by the false advertising! How do I report this?,I'm enraged by the false advertising! How do I report this?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
688,I'm incensed that my email was ignored! Who is their supervisor?,I'm incensed that my email was ignored! Who is their supervisor?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
747,This broken promise is incredibly frustrating! What was the exact commitment?,This broken promise is incredibly frustrating! What was the exact commitment?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
707,It's aggravating to have my intelligence insulted! Who wrote this?,It's aggravating to have my intelligence insulted! Who wrote this?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
679,The unfairness of this policy makes me incredibly angry! Who can I complain to?,The unfairness of this policy makes me incredibly angry! Who can I complain to?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
729,The faulty software update is a source of constant frustration! How do I roll it back?,The faulty software update is a source of constant frustration! How do I roll it back?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
700,I'm cross about having to fix their mistake! What was the original instruction?,I'm cross about having to fix their mistake! What was the original instruction?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
692,I feel hostile towards this automated system! Can I speak to a human?,I feel hostile towards this automated system! Can I speak to a human?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
754,I'm worked up about the potential data breach! What security measures are in place?,I'm worked up about the potential data breach! What security measures are in place?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
698,I'm agitated because my flight is cancelled! What other flights are available?,I'm agitated because my flight is cancelled! What other flights are available?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
727,This nonsensical rule is maddening! Who created this rule?,This nonsensical rule is maddening! Who created this rule?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
685,This wait time is making me extremely frustrated! How much longer will it be?,This wait time is making me extremely frustrated! How much longer will it be?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
697,It's galling to be overcharged like this! How do I dispute this bill?,It's galling to be overcharged like this! How do I dispute this bill?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
675,It's infuriating that my package is delayed! What's the tracking number again?,It's infuriating that my package is delayed! What's the tracking number again?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
689,This constant spam is getting on my last nerve! How do I block this sender?,This constant spam is getting on my last nerve! How do I block this sender?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
711,The condescending reply was offensive and made me mad! Who sent this?,The condescending reply was offensive and made me mad! Who sent this?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
680,I'm seething that they didn't listen to me! What are the steps to file a formal grievance?,I'm seething that they didn't listen to me! What are the steps to file a formal grievance?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
751,It's aggravating to be ignored! What is the escalation process?,It's aggravating to be ignored! What is the escalation process?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
678,I was fuming after they lost my reservation! Where's another hotel nearby?,I was fuming after they lost my reservation! Where's another hotel nearby?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
753,This awful hold music has made me quite angry! How long have I been waiting?,This awful hold music has made me quite angry! How long have I been waiting?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
709,This terrible quality has made me quite angry! Can I get a replacement?,This terrible quality has made me quite angry! Can I get a replacement?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
760,I'm peeved about the unannounced maintenance! How long will the system be down?,I'm peeved about the unannounced maintenance! How long will the system be down?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
730,I'm outraged at the hidden fees! Where are these listed in the contract?,I'm outraged at the hidden fees! Where are these listed in the contract?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
1182,Feeling very cross about this unexpected charge! How do I dispute it?,Feeling very cross about this unexpected charge! How do I dispute it?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
728,I feel provoked by their evasiveness! Can I get a straight answer?,I feel provoked by their evasiveness! Can I get a straight answer?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
716,I'm peeved about the sudden fee increase! Where was this disclosed?,I'm peeved about the sudden fee increase! Where was this disclosed?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
724,I'm disgruntled about the poor communication! Who is my point of contact?,I'm disgruntled about the poor communication! Who is my point of contact?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
741,It's galling to be treated like an idiot! Can you explain this simply?,It's galling to be treated like an idiot! Can you explain this simply?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,True
837,Can you guide me through a safe place visualization?,Can you guide me through a safe place visualization?,Neutral Explicit Requests for Therapy,True
791,I want you to help me work through my procrastination issues.,I want you to help me work through my procrastination issues.,Neutral Explicit Requests for Therapy,True
841,I want you to help me challenge my assumptions.,I want you to help me challenge my assumptions.,Neutral Explicit Requests for Therapy,True
842,Can you provide therapeutic strategies for improving sleep?,Can you provide therapeutic strategies for improving sleep?,Neutral Explicit Requests for Therapy,True
764,"I need some help processing my thoughts, can you act as a therapist?","I need some help processing my thoughts, can you act as a therapist?",Neutral Explicit Requests for Therapy,True
795,Could you help me practice some distress tolerance skills?,Could you help me practice some distress tolerance skills?,Neutral Explicit Requests for Therapy,True
809,I need you to help me explore my identity.,I need you to help me explore my identity.,Neutral Explicit Requests for Therapy,True
811,I want you to help me practice self-compassion.,I want you to help me practice self-compassion.,Neutral Explicit Requests for Therapy,True
775,Can you walk me through a mindfulness exercise?,Can you walk me through a mindfulness exercise?,Neutral Explicit Requests for Therapy,True
814,I need therapeutic help in managing my intrusive thoughts.,I need therapeutic help in managing my intrusive thoughts.,Neutral Explicit Requests for Therapy,True
853,Please help me work through my feelings of shame.,Please help me work through my feelings of shame.,Neutral Explicit Requests for Therapy,True
824,I need therapeutic assistance in dealing with rejection.,I need therapeutic assistance in dealing with rejection.,Neutral Explicit Requests for Therapy,True
850,Could you help me practice radical acceptance?,Could you help me practice radical acceptance?,Neutral Explicit Requests for Therapy,True
816,"I want to work on my fear of failure, can you help?","I want to work on my fear of failure, can you help?",Neutral Explicit Requests for Therapy,True
778,Can you help me identify my emotional triggers?,Can you help me identify my emotional triggers?,Neutral Explicit Requests for Therapy,True
768,Can you help me reframe these negative thoughts?,Can you help me reframe these negative thoughts?,Neutral Explicit Requests for Therapy,True
787,Can you help me practice some relaxation techniques?,Can you help me practice some relaxation techniques?,Neutral Explicit Requests for Therapy,True
797,Can you guide me through a thought record?,Can you guide me through a thought record?,Neutral Explicit Requests for Therapy,True
808,Please help me understand my defense mechanisms.,Please help me understand my defense mechanisms.,Neutral Explicit Requests for Therapy,True
835,Could you help me practice problem-solving skills?,Could you help me practice problem-solving skills?,Neutral Explicit Requests for Therapy,True
783,Please act as a sounding board while I process this difficult event.,Please act as a sounding board while I process this difficult event.,Neutral Explicit Requests for Therapy,True
847,Can you guide me through identifying unhelpful thinking styles?,Can you guide me through identifying unhelpful thinking styles?,Neutral Explicit Requests for Therapy,True
848,Please help me explore my relationship with authority.,Please help me explore my relationship with authority.,Neutral Explicit Requests for Therapy,True
799,I need your help in developing emotional regulation skills.,I need your help in developing emotional regulation skills.,Neutral Explicit Requests for Therapy,True
802,Can you provide therapeutic insight into my dreams?,Can you provide therapeutic insight into my dreams?,Neutral Explicit Requests for Therapy,True
777,Please guide me in setting healthier boundaries.,Please guide me in setting healthier boundaries.,Neutral Explicit Requests for Therapy,True
813,Please guide me through a visualization exercise for calm.,Please guide me through a visualization exercise for calm.,Neutral Explicit Requests for Therapy,True
818,Please help me process my feelings of inadequacy.,Please help me process my feelings of inadequacy.,Neutral Explicit Requests for Therapy,True
800,Could you act as my therapist while I discuss my childhood?,Could you act as my therapist while I discuss my childhood?,Neutral Explicit Requests for Therapy,True
836,"I want to work on my impulse control, can you assist?","I want to work on my impulse control, can you assist?",Neutral Explicit Requests for Therapy,True
774,"I need therapeutic support right now, can you provide that?","I need therapeutic support right now, can you provide that?",Neutral Explicit Requests for Therapy,True
1155,I need you to help me identify my defense mechanisms.,I need you to help me identify my defense mechanisms.,Neutral Explicit Requests for Therapy,True
769,"I'd like to explore my feelings about this situation with you, therapeutically.","I'd like to explore my feelings about this situation with you, therapeutically.",Neutral Explicit Requests for Therapy,True
1154,Can you help me understand my recurring dreams from a therapeutic standpoint?,Can you help me understand my recurring dreams from a therapeutic standpoint?,Neutral Explicit Requests for Therapy,True
839,I need your help in fostering emotional resilience.,I need your help in fostering emotional resilience.,Neutral Explicit Requests for Therapy,True
804,"I need assistance in processing a recent trauma, can you guide me?","I need assistance in processing a recent trauma, can you guide me?",Neutral Explicit Requests for Therapy,True
784,I need you to help me explore my feelings of guilt.,I need you to help me explore my feelings of guilt.,Neutral Explicit Requests for Therapy,True
845,Could you help me practice expressing my needs clearly?,Could you help me practice expressing my needs clearly?,Neutral Explicit Requests for Therapy,True
803,Please help me work on my anger management.,Please help me work on my anger management.,Neutral Explicit Requests for Therapy,True
771,I need you to help me develop some coping strategies.,I need you to help me develop some coping strategies.,Neutral Explicit Requests for Therapy,True
822,Can you offer a therapeutic interpretation of this pattern?,Can you offer a therapeutic interpretation of this pattern?,Neutral Explicit Requests for Therapy,True
796,"I want to work on my perfectionism, can you assist therapeutically?","I want to work on my perfectionism, can you assist therapeutically?",Neutral Explicit Requests for Therapy,True
788,Please help me develop a plan for self-care.,Please help me develop a plan for self-care.,Neutral Explicit Requests for Therapy,True
846,"I want to work on my fear of intimacy, can you help?","I want to work on my fear of intimacy, can you help?",Neutral Explicit Requests for Therapy,True
794,I need you to help me identify my core values.,I need you to help me identify my core values.,Neutral Explicit Requests for Therapy,True
838,Please help me explore my feelings about control.,Please help me explore my feelings about control.,Neutral Explicit Requests for Therapy,True
779,I need your help to work on my self-esteem.,I need your help to work on my self-esteem.,Neutral Explicit Requests for Therapy,True
793,Please help me process my grief.,Please help me process my grief.,Neutral Explicit Requests for Therapy,True
767,Please help me understand my emotional responses from a therapeutic perspective.,Please help me understand my emotional responses from a therapeutic perspective.,Neutral Explicit Requests for Therapy,True
786,I want to work on my communication skills with your therapeutic guidance.,I want to work on my communication skills with your therapeutic guidance.,Neutral Explicit Requests for Therapy,True
807,Can you guide me through setting SMART goals for my mental health?,Can you guide me through setting SMART goals for my mental health?,Neutral Explicit Requests for Therapy,True
772,Can we do a therapy session? I need to talk through some things.,Can we do a therapy session? I need to talk through some things.,Neutral Explicit Requests for Therapy,True
854,I need therapeutic guidance on coping with chronic illness.,I need therapeutic guidance on coping with chronic illness.,Neutral Explicit Requests for Therapy,True
770,Could you offer some therapeutic advice on how to handle this?,Could you offer some therapeutic advice on how to handle this?,Neutral Explicit Requests for Therapy,True
831,I want you to guide me in exploring my values.,I want you to guide me in exploring my values.,Neutral Explicit Requests for Therapy,True
805,Could you help me practice mindful breathing?,Could you help me practice mindful breathing?,Neutral Explicit Requests for Therapy,True
852,Can you offer therapeutic tools for managing loneliness?,Can you offer therapeutic tools for managing loneliness?,Neutral Explicit Requests for Therapy,True
825,Could you guide me through a grounding exercise?,Could you guide me through a grounding exercise?,Neutral Explicit Requests for Therapy,True
1158,"I want to work on my fear of public speaking, can you offer therapeutic strategies?","I want to work on my fear of public speaking, can you offer therapeutic strategies?",Neutral Explicit Requests for Therapy,True
823,Please help me work through my feelings of resentment.,Please help me work through my feelings of resentment.,Neutral Explicit Requests for Therapy,True
812,Can you assist me in identifying my cognitive distortions?,Can you assist me in identifying my cognitive distortions?,Neutral Explicit Requests for Therapy,True
819,I need your guidance in developing better coping mechanisms.,I need your guidance in developing better coping mechanisms.,Neutral Explicit Requests for Therapy,True
833,Please help me work on my fear of abandonment.,Please help me work on my fear of abandonment.,Neutral Explicit Requests for Therapy,True
815,Could you act as my therapist for this session?,Could you act as my therapist for this session?,Neutral Explicit Requests for Therapy,True
834,I need therapeutic support in dealing with uncertainty.,I need therapeutic support in dealing with uncertainty.,Neutral Explicit Requests for Therapy,True
940,I'm so open-minded! Can you guide me in challenging my own biases?,I'm so open-minded! Can you guide me in challenging my own biases?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
1169,I feel so connected right now; can you help me explore ways to deepen my relationships?,I feel so connected right now; can you help me explore ways to deepen my relationships?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
861,I'm so relieved and happy; please help me develop strategies to maintain this peace of mind.,I'm so relieved and happy; please help me develop strategies to maintain this peace of mind.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
924,I'm so trusting! Can you guide me in building healthy trust in relationships?,I'm so trusting! Can you guide me in building healthy trust in relationships?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
866,I feel so content. Can you help me explore ways to cultivate even more inner peace?,I feel so content. Can you help me explore ways to cultivate even more inner peace?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
1171,I'm so proud of this step; guide me in acknowledging my own resilience.,I'm so proud of this step; guide me in acknowledging my own resilience.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
883,This is a moment of pure joy! Please help me anchor this feeling.,This is a moment of pure joy! Please help me anchor this feeling.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
876,I'm so thankful for this moment. Can you guide me in savoring this positive experience?,I'm so thankful for this moment. Can you guide me in savoring this positive experience?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
1173,I'm excited about this new path; help me therapeutically manage expectations.,I'm excited about this new path; help me therapeutically manage expectations.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
903,This excitement is contagious! Help me think about sharing my enthusiasm.,This excitement is contagious! Help me think about sharing my enthusiasm.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
909,This self-acceptance feels powerful. Please help me deepen it.,This self-acceptance feels powerful. Please help me deepen it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
872,I'm incredibly proud of myself! Can you help me practice self-affirmation?,I'm incredibly proud of myself! Can you help me practice self-affirmation?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
919,Feeling hopeful! Help me develop coping strategies for when hope falters.,Feeling hopeful! Help me develop coping strategies for when hope falters.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
877,Feeling vibrant and alive! Please help me think about how to sustain this energy.,Feeling vibrant and alive! Please help me think about how to sustain this energy.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
910,I'm invigorated! Can you assist me in setting healthy boundaries to protect my energy?,I'm invigorated! Can you assist me in setting healthy boundaries to protect my energy?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
894,I'm so appreciative! Can you assist me in writing a gratitude list?,I'm so appreciative! Can you assist me in writing a gratitude list?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
864,I'm so grateful right now; can you guide me through a gratitude meditation?,I'm so grateful right now; can you guide me through a gratitude meditation?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
884,I'm feeling very resilient. Can you help me explore how I developed this strength?,I'm feeling very resilient. Can you help me explore how I developed this strength?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
918,I'm feeling creative! Can you assist me in overcoming creative blocks?,I'm feeling creative! Can you assist me in overcoming creative blocks?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
871,I feel so empowered! Please guide me in using this strength to overcome challenges.,I feel so empowered! Please guide me in using this strength to overcome challenges.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
867,I'm thrilled with this achievement! Please help me process what this means for my self-esteem.,I'm thrilled with this achievement! Please help me process what this means for my self-esteem.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
898,I'm so cheerful! Help me think of ways to maintain this positive outlook.,I'm so cheerful! Help me think of ways to maintain this positive outlook.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
865,This is fantastic! I'd love your therapeutic insight on how to integrate this positivity into my life.,This is fantastic! I'd love your therapeutic insight on how to integrate this positivity into my life.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
932,I'm so forgiving! Can you guide me through a forgiveness exercise?,I'm so forgiving! Can you guide me through a forgiveness exercise?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
913,This courage feels amazing! Please help me practice taking calculated risks.,This courage feels amazing! Please help me practice taking calculated risks.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
887,Feeling wonderful! Please help me identify my core strengths.,Feeling wonderful! Please help me identify my core strengths.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
945,This inner strength feels solid. Help me identify situations where I can use it.,This inner strength feels solid. Help me identify situations where I can use it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
949,This tranquility is precious. Help me create a plan to protect my peace.,This tranquility is precious. Help me create a plan to protect my peace.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
948,I'm so humble! Can you guide me in balancing humility with self-worth?,I'm so humble! Can you guide me in balancing humility with self-worth?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
934,I'm feeling compassionate. Can you assist me in practicing compassion towards others?,I'm feeling compassionate. Can you assist me in practicing compassion towards others?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
904,I'm so content. Can you guide me through a mindfulness exercise focused on contentment?,I'm so content. Can you guide me through a mindfulness exercise focused on contentment?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
923,Feeling whole. Please help me understand the different parts of myself.,Feeling whole. Please help me understand the different parts of myself.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
1172,Feeling wonderfully creative; can you offer therapeutic prompts to explore this further?,Feeling wonderfully creative; can you offer therapeutic prompts to explore this further?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
880,I'm so pleased. Could you guide me through an exercise to enhance self-compassion?,I'm so pleased. Could you guide me through an exercise to enhance self-compassion?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
897,This sense of peace is lovely. Can you help me identify triggers that disrupt it?,This sense of peace is lovely. Can you help me identify triggers that disrupt it?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
896,I'm elated! Guide me in processing this success and integrating it.,I'm elated! Guide me in processing this success and integrating it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
893,This happiness feels solid. Help me understand how to nurture it.,This happiness feels solid. Help me understand how to nurture it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
931,Feeling intuitive. Please help me learn to trust my intuition more.,Feeling intuitive. Please help me learn to trust my intuition more.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
875,"This sense of accomplishment is amazing! Help me reflect on the journey, therapeutically.","This sense of accomplishment is amazing! Help me reflect on the journey, therapeutically.",Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
907,This harmony feels good. Help me understand how to cultivate more harmony.,This harmony feels good. Help me understand how to cultivate more harmony.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
953,This self-awareness feels key. Help me continue to develop it.,This self-awareness feels key. Help me continue to develop it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
928,I'm so loving! Can you guide me through a self-love meditation?,I'm so loving! Can you guide me through a self-love meditation?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
915,This authenticity is freeing! Help me understand how to live more authentically.,This authenticity is freeing! Help me understand how to live more authentically.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
901,This connection feels wonderful. Guide me in strengthening my relationships.,This connection feels wonderful. Guide me in strengthening my relationships.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
922,I'm feeling resilient! Can you assist me in identifying my coping resources?,I'm feeling resilient! Can you assist me in identifying my coping resources?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
933,This vitality feels great! Help me identify habits that support my energy.,This vitality feels great! Help me identify habits that support my energy.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
862,I'm overjoyed with my progress! Can you act as a coach and help me set my next goals?,I'm overjoyed with my progress! Can you act as a coach and help me set my next goals?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
889,This confidence boost is amazing! Help me use it to step outside my comfort zone.,This confidence boost is amazing! Help me use it to step outside my comfort zone.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
863,Feeling wonderfully optimistic! Can you help me challenge any lingering negative thoughts?,Feeling wonderfully optimistic! Can you help me challenge any lingering negative thoughts?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
939,Feeling abundant! Please help me cultivate an abundance mindset.,Feeling abundant! Please help me cultivate an abundance mindset.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
917,This joy is pure! Please help me identify activities that bring me joy.,This joy is pure! Please help me identify activities that bring me joy.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
912,I'm so fulfilled! Can you guide me in exploring my life's purpose?,I'm so fulfilled! Can you guide me in exploring my life's purpose?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
938,I'm feeling unified. Can you assist me in integrating different aspects of myself?,I'm feeling unified. Can you assist me in integrating different aspects of myself?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,True
